artist,title,genre,spotify_id,valence,arousal,dominance,d2_tags
Orbital,Tension,electronic,0OjJY3qjmKkseLveXKpfZq,2.612909090909091,3.711272727272727,3.128363636363636,{}
Echobelly,Car Fiction,indie,2q7CtN4Oif2NDfjPp4inob,1.54,2.935,2.745,{}
Chrome,The Monitors,experimental,5LpSFZBh0mybt9IBArpsLl,1.54,2.935,2.745,{}
Cold,Just Got Wicked,alternative rock,20QoUUjUE4MW8eWCSeUGhX,3.673947368421053,3.9728947368421057,4.620526315789474,{}
Emilíana Torrini,Ha Ha,trip-hop,1u2hszuCZjUgWw2dRekbuL,4.311489361702128,3.769148936170213,5.015744680851063,{}
Chevelle,Bend the Bracket,alternative rock,6XmUNM3uu4R437USxAyaI3,3.662727272727273,3.9097979797979807,4.361616161616162,{}
Morrissey,Spent The Day In Bed,indie,1pkb7eplZ7xGrijYN0FyUh,1.5433333333333334,3.2300000000000004,2.65,{}
Guided by Voices,"As We Go Up, We Go Down",indie,7g516Dn1Xrp8OdtLntHVmr,2.54,3.47,2.8766666666666665,{}
Phantom Planet,Jabberjaw,alternative,574lHjF7nBEBJ6ngEPbXEh,2.3033333333333332,3.9066666666666663,3.2333333333333334,{}
Wye Oak,I Hope You Die,indie,4uKyBI1fZAp6G9dyEROQZO,2.3619999999999997,3.454,3.28,{}
The Frames,Keepsake,indie rock,1K5OMBGaASIVTmr018TbvD,1.265,3.1,2.055,{}
They Might Be Giants,Upside Down Frown,alternative,17EjphFfgYP7kz3otD2luo,3.352,3.332,3.25,{}
Primal Scream,Motorhead,electronic,1zBkDaFq1xqFHkJIGdyS3z,3.231904761904762,2.6226785714285716,3.400119047619048,{}
Hello Saferide,Last Bitter Song,indie,0tbPhcwWcQ5UbAu0jPrxiQ,4.213175675675675,3.8802364864864862,4.743547297297297,{}
Frida Hyvönen,You Never Got Me Right,indie,6lXqsEFIivgkfLypzNsbhq,1.265,3.1,2.055,{}
Ben Moody,10.22,alternative rock,6FmM6tfOTwfmnTLA46Vzjr,1.5433333333333332,3.23,2.65,{}
Bright Eyes,Padraic My Prince,indie,2mI4a89s5XvZDfmEVDdv8i,2.952869822485207,3.963994082840237,3.448284023668639,{}
Sparta,The Most Vicious Crime,alternative rock,6mZpR3756gnPNWGjvthGCZ,3.585,3.165,3.31,{}
Eisley,Smarter,indie,3GGt1YSp0XJh6ANcfWMQ8u,3.76,2.45,3.14,{}
The Thermals,I Might Need You To Kill,indie rock,49mj4bnYHXBbIRCwh3zprd,1.87,2.065,1.98,{}
Drive Like Jehu,Do You Compute,indie,793RxZVVT5ITET0thwbjAK,3.966,3.802,3.95,{}
Sebadoh,The Freed Pig,indie rock,4OmjBoAYcQ5I4FBNqi6RC8,3.86,3.0249999999999995,3.415,{}
Le Tigre,They Want Us To Make A Symphon,electronic,4u5C9xeT3SXdcfHg0biGUF,3.036666666666666,3.2,2.6866666666666665,{}
Gang of Four,World Falls Apart,post-punk,30wLkKpz7pCueRHzwQ1n8V,2.475,1.85,3.38,{}
Paul Butterfield Blues Band,Born In Chicago,blues,0dvPuXBdAudLyBnCmYYu68,3.747025495750708,3.44685552407932,4.606062322946176,{}
