artist,track,genre,valence_tags,arousal_tags,dominance_tags,spotify_id
Orbital,Tension,electronic,2.612909090909091,3.711272727272727,3.128363636363636,0OjJY3qjmKkseLveXKpfZq
Echobelly,Car Fiction,indie,1.54,2.935,2.745,2q7CtN4Oif2NDfjPp4inob
Chrome,The Monitors,experimental,1.54,2.935,2.745,5LpSFZBh0mybt9IBArpsLl
Cold,Just Got Wicked,alternative rock,3.673947368421053,3.9728947368421057,4.620526315789474,20QoUUjUE4MW8eWCSeUGhX
Emilíana Torrini,Ha Ha,trip-hop,4.311489361702128,3.769148936170213,5.015744680851063,1u2hszuCZjUgWw2dRekbuL
Chevelle,Bend the Bracket,alternative rock,3.662727272727273,3.9097979797979807,4.361616161616162,6XmUNM3uu4R437USxAyaI3
Morrissey,Spent The Day In Bed,indie,1.5433333333333334,3.2300000000000004,2.65,1pkb7eplZ7xGrijYN0FyUh
Guided by Voices,"As We Go Up, We Go Down",indie,2.54,3.47,2.8766666666666665,7g516Dn1Xrp8OdtLntHVmr
Phantom Planet,Jabberjaw,alternative,2.3033333333333332,3.9066666666666663,3.2333333333333334,574lHjF7nBEBJ6ngEPbXEh
Wye Oak,I Hope You Die,indie,2.3619999999999997,3.454,3.28,4uKyBI1fZAp6G9dyEROQZO
The Frames,Keepsake,indie rock,1.265,3.1,2.055,1K5OMBGaASIVTmr018TbvD
They Might Be Giants,Upside Down Frown,alternative,3.352,3.332,3.25,17EjphFfgYP7kz3otD2luo
Primal Scream,Motorhead,electronic,3.231904761904762,2.6226785714285716,3.400119047619048,1zBkDaFq1xqFHkJIGdyS3z
Hello Saferide,Last Bitter Song,indie,4.213175675675675,3.8802364864864862,4.743547297297297,0tbPhcwWcQ5UbAu0jPrxiQ
Frida Hyvönen,You Never Got Me Right,indie,1.265,3.1,2.055,6lXqsEFIivgkfLypzNsbhq
Ben Moody,10.22,alternative rock,1.5433333333333332,3.23,2.65,6FmM6tfOTwfmnTLA46Vzjr
Bright Eyes,Padraic My Prince,indie,2.952869822485207,3.963994082840237,3.448284023668639,2mI4a89s5XvZDfmEVDdv8i
Sparta,The Most Vicious Crime,alternative rock,3.585,3.165,3.31,6mZpR3756gnPNWGjvthGCZ
Eisley,Smarter,indie,3.76,2.45,3.14,3GGt1YSp0XJh6ANcfWMQ8u
The Thermals,I Might Need You To Kill,indie rock,1.87,2.065,1.98,49mj4bnYHXBbIRCwh3zprd
Drive Like Jehu,Do You Compute,indie,3.966,3.802,3.95,793RxZVVT5ITET0thwbjAK
Sebadoh,The Freed Pig,indie rock,3.86,3.0249999999999995,3.415,4OmjBoAYcQ5I4FBNqi6RC8
Le Tigre,They Want Us To Make A Symphon,electronic,3.036666666666666,3.2,2.6866666666666665,4u5C9xeT3SXdcfHg0biGUF
Gang of Four,World Falls Apart,post-punk,2.475,1.85,3.38,30wLkKpz7pCueRHzwQ1n8V
Paul Butterfield Blues Band,Born In Chicago,blues,3.747025495750708,3.44685552407932,4.606062322946176,0dvPuXBdAudLyBnCmYYu68
Bright Eyes,When The President Talks To Go,indie,1.5664864864864865,1.253108108108108,1.7598648648648647,2AckvF8zhoMhmZ49jmIf8O
Sonic Youth,The Sprawl (Live),indie rock,2.06,2.95,3.01,0EVXPmBm3EMyZmJWTQTYXO
I Fight Dragons,Welcome To The Breakdown,electronica,2.06,2.95,3.01,2FLpnGNaXVLBbTcycUyj0n
Luc Arbogast,Ad Mortem Festinamus,folk,3.7718181818181815,3.853636363636364,3.492727272727273,4hQQVFVVUGcYJSSEax80Ua
Kevin Max,Untitled,alternative,1.525,3.12,1.76,4HvQYzwoQox5PTkut0qcbF
10 Years,Drug of Choice,alternative rock,2.07,3.31,1.66,5bwJVTyYzj66jfvXoU9L3C
Nebulo,batman dancefloor,electronic,2.07,3.31,1.66,2dz8MDKwL1FNPyosCtJS1q
Liquid Liquid,Scraper,post-punk,3.37,3.25,3.4933333333333336,6AJqOfsBIH90osgTf8onWn
Bessie Smith,Gimme a Pigfoot,blues,3.4910714285714284,3.8339285714285714,5.4678571428571425,2f6127b2JQb92pbQGadlth
Bessie Smith,Aggravatin' Papa,blues,3.495575221238938,3.8504424778761064,5.469911504424779,52AVPhiLKUui44osegMNbf
Ferri,Zoetrope,trip-hop,2.547557251908397,2.1077099236641224,2.393053435114504,5U2GKMt0ftgmQDkmXxxx0x
Pharmakon,Body Betrays Itself,experimental,2.005,3.7425,2.4299999999999997,3p2ELxpr89ETLYmvYKlxat
Simon Finn,Jerusalem,singer-songwriter,4.154000000000001,3.709999999999999,3.7799999999999994,7pkNfihnK4mrV9MXQRJdPZ
The Cure,To Wish Impossible Things,new wave,3.83004347826087,3.59495652173913,4.097391304347825,1lGA1yVlhvrbyPvQ9tiWPh
Youth Lagoon,Mute,indie,4.244,3.366,4.122,7yOuXFe5Z8ywavuRNa5nG2
City and Colour,Hope for Now,folk,2.299714285714286,2.986142857142857,2.8954285714285715,6jCTatrnxRtCYG7d31JOWO
Björk,An Echo A Stain,electronic,4.220000000000001,3.838333333333334,4.183333333333334,1cmvBuBe0DQIkizOhcm5wk
Tortoise,Ten-Day Interval,post-rock,4.109605263157895,3.643815789473684,3.794210526315789,5A2vl9MadJ87kas3R3GoTm
Cat Power,Good Clean Fun,indie rock,4.051574803149606,3.920551181102362,4.111653543307086,0bR3ZRex5iMvLf7R8Llfox
Howie Day,Come Lay Down,singer-songwriter,4.4498139534883725,3.908883720930232,4.978,1AB6PxollHd0b1atinbbRN
The Appleseed Cast,Fight Song,post-rock,4.28,3.8,3.63,5lEnGlS5AxaNzcdEOrg4Yo
The Field,Is This Power,electronic,4.3225,3.5225,4.2275,6gNyWXWnOmNwhHmrqCoq6z
The Notwist,Hands On Us,electronic,1.1153174603174605,1.0162698412698414,1.1473015873015873,4pavphWAkF6wQ76Vj2Qy3u
Cocteau Twins,Glass Candle Grenades,shoegaze,1.4125,1.65,1.3925,2P2Yh1eLIsntqDspWGrw4n
Swans,Blood and Honey,experimental,3.902840909090909,3.2988636363636363,3.5842045454545457,5RPomiifAjTJfvmWNuJajw
Frank Turner,Better Half,singer-songwriter,3.39,3.96,3.3420000000000005,1wlvPrjDTWSNCuxDvGAMbK
Björk,Body Memory,experimental,4.238706199460917,3.578679245283019,3.788544474393531,5yGhCwFX6VOldPFh4Y21PK
Scarlett Johansson,Song for Jo,alternative,3.491162790697674,2.587906976744186,3.2706976744186043,0WUR8N8ewrdfCSP9Puaw3p
Dan Deacon,Jimmy Joe Roche,electronic,3.6333333333333337,3.443333333333333,3.17,6CU04lxIdOnp90X3ioxrTD
Poe,Spanish Doll,alternative,4.391315789473683,3.8510526315789466,4.4028289473684215,01DM4JTPZ6Xa18DsdB8U9O
...And You Will Know Us by the Trail of Dead,Clair De Lune,alternative rock,2.825,3.3,2.785,2YgGHc1qdzOXXbJg6WPy4P
Low,On the Edge Of,indie,4.279999999999999,3.821249999999999,4.6125,7EVdLCWrvpHsTEQFijzeu9
John Frusciante,Running Away Into You,experimental,3.6744099378881985,3.216521739130435,3.371801242236025,0BCnNOixX8zSyWNo7I7onO
The Avett Brothers,Colorshow,folk,2.825,3.3,2.785,3L3H7jjUYE0ZLl0gMiV8w9
Bright Eyes,Messenger Bird's Song,indie,2.8766666666666665,3.2316666666666665,3.4858333333333333,5cQJ0tvH3ZxINFUck2geHn
Wire,A Touching Display,post-punk,3.837162162162162,3.6118918918918914,3.441891891891892,69ToRBlsvl4tMXkOVcr4qi
Ólafur Arnalds,Brotsjór,ambient,3.210769230769231,2.9197252747252747,3.0365384615384614,5u6POyze1KwvLdGRpTvPPd
Spoon,Claws Tracking,indie rock,4.0075,3.5925,4.2425,3nCLTmrxRaXp1jmdl91uTa
The Cat Empire,The Darkness,alternative,2.825,3.3,2.785,0agY9LDN5MIFCbO729wCys
Denali,Normal Days,indie rock,2.825,3.3,2.785,3mhJhxPTNqA6OAiF3fHdZj
VNV Nation,Distant (Rubicon II),electronic,3.6293650793650793,2.868015873015873,3.566825396825397,0b6XRDXFKMn6wZAebMwu4y
Tindersticks,My Oblivion,indie,3.998,3.908666666666667,4.089333333333333,3C9IRpAeP5Qy4cvcRxkRCG
Tindersticks,Running Wild,indie,2.7457142857142856,3.297142857142857,3.0085714285714285,6mm8zS1NudS6pmV9REG0U2
Plaid,Air Locked,ambient,3.6,3.5283333333333338,4.28,0vjYm7Uaifp7RhLomgjX4M
Soul Coughing,Bus to Beelzebub,indie,4.0875,3.3125,4.25,4txSFoaRktodSZEnT00WiT
Siouxsie and the Banshees,Cannibal Roses,new wave,1.405,2.82,1.775,4HKPAb6z3keXXjPgY4KIBx
Siouxsie and the Banshees,We Fall,new wave,2.645,1.74,2.805,6GpnxUMuhfpWjJE6vsjEcE
Atom and His Package,Going to Georgia,electronic,4.220000000000001,3.533333333333333,3.6133333333333337,5DjeQPzhJa5jzEMUTYwwtD
Brad Mehldau,Paranoid Android (Live),jazz,2.095,2.275,1.815,19DID34tJdEVJ6lTb70qm5
Serene Ailment,Penance,sad,3.88625,3.9025,3.9525,4QhQgPgEtz4yFJUEkU0nkE
Clogs,I Used to Do,indie,1.57,2.38,2.075,2XWqu64LGuyLlLmt5sGDE4
Scott Walker,Bouncer See Bouncer...,experimental,2.5525185185185184,3.5196296296296294,2.5449629629629635,0XSkUq7PJOZeYZzTNxRO80
Tera Melos,Bite,indie rock,2.74,2.95,2.9200000000000004,7sZNUVzfmUkK0dl24mZs4C
